Partlist

Exported from Motherboard Schematics - 1 - 29_Dec_2020.brd at 1/27/2021 3:21 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                               Package                                   Library                                           Position (mil)        Orientation
LED10                                        CHIPLED_1206                              led                                               (512 665)             R90
LED11                                        CHIPLED_1206                              led                                               (1049 1785)           R90
LED12                                        CHIPLED_1206                              led                                               (724 1583)            R90
LED13                                        CHIPLED_1206                              led                                               (4740 3135)           R0
LED14                                        CHIPLED_1206                              led                                               (5045 3615)           R0
LED15                                        CHIPLED_1206                              led                                               (4350 3630)           R270
LED16                                        CHIPLED_1206                              led                                               (4085 2405)           R270
MOD1     CARD-SD-ADAPTER-CATALEX             CARD-SD-ADAPTER-CATALEX                   SD-Card-Module_CATALEX                            (800 -750)            R270
R        1k                                  R1206                                     rcl                                               (4925 -845)           MR0
R1       1k                                  R1206                                     modified cap                                      (4990 1765)           MR90
R2       1k                                  R1206                                     rcl                                               (5010 1775)           R270
R3       1k                                  R1206                                     rcl                                               (5030 1205)           R270
R4       1k                                  R1206                                     rcl                                               (4854 780)            MR270
R5       1k                                  R1206                                     rcl                                               (5090 265)            MR270
R6       1k                                  R1206                                     rcl                                               (4980 340)            R270
R7       1k                                  R1206                                     rcl                                               (4870 -215)           R270
R8       1k                                  R1206                                     rcl                                               (5035 -250)           MR270
R9       1k                                  R1206                                     rcl                                               (4795 -695)           R0
R10      10k                                 R1206                                     modified cap                                      (3030 370)            MR180
R11      1k                                  R1206                                     rcl                                               (4895 1770)           MR90
R12      1k                                  R1206                                     rcl                                               (4700 1745)           R90
R13      1k                                  R1206                                     rcl                                               (4574 1195)           R90
R14      1k                                  R1206                                     rcl                                               (4811 632)            MR180
R15      1k                                  R1206                                     rcl                                               (4825 220)            MR180
R16      1k                                  R1206                                     rcl                                               (4650 320)            R180
R17      1k                                  R1206                                     rcl                                               (4725 -180)           R180
R18      1k                                  R1206                                     rcl                                               (4795 -305)           MR0
R19      1k                                  R1206                                     rcl                                               (4570 -785)           R180
R20      1k                                  R1206                                     rcl                                               (4712 -647)           MR0
R21      10k                                 R1206                                     rcl                                               (5080 1765)           MR270
R22      10k                                 R1206                                     rcl                                               (5105 1775)           R90
R23      10k                                 R1206                                     rcl                                               (5119 1199)           R90
